AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
Pipe004,4K-JPG,zip,22206828,https://ambientCG.com/get?file=Pipe004_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Pipe004_b5v7uczq/Pipe004_4K-JPG.zip
Pipe004,4K-PNG,zip,125893868,https://ambientCG.com/get?file=Pipe004_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Pipe004_b5v7uczq/Pipe004_4K-PNG.zip
Pipe004,8K-JPG,zip,78770092,https://ambientCG.com/get?file=Pipe004_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Pipe004_b5v7uczq/Pipe004_8K-JPG.zip
Pipe004,8K-PNG,zip,403682092,https://ambientCG.com/get?file=Pipe004_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Pipe004_b5v7uczq/Pipe004_8K-PNG.zip
Tiles015,1K-JPG,zip,3211442,https://ambientCG.com/get?file=Tiles015_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles015_uremzp9a/Tiles015_1K-JPG.zip
Tiles015,1K-PNG,zip,11426674,https://ambientCG.com/get?file=Tiles015_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles015_uremzp9a/Tiles015_1K-PNG.zip
Tiles015,2K-JPG,zip,13089714,https://ambientCG.com/get?file=Tiles015_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles015_uremzp9a/Tiles015_2K-JPG.zip
Tiles015,2K-PNG,zip,45783730,https://ambientCG.com/get?file=Tiles015_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles015_uremzp9a/Tiles015_2K-PNG.zip
Tiles015,4K-JPG,zip,53717874,https://ambientCG.com/get?file=Tiles015_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles015_uremzp9a/Tiles015_4K-JPG.zip
Tiles015,4K-PNG,zip,176825842,https://ambientCG.com/get?file=Tiles015_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles015_uremzp9a/Tiles015_4K-PNG.zip
Tiles015,8K-JPG,zip,197425586,https://ambientCG.com/get?file=Tiles015_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles015_uremzp9a/Tiles015_8K-JPG.zip
